,PSO,GA,DE
0,2.5916358479653674,0.0007988290202760595,0.000667521242906588
1,0.25838292716046496,0.000773865826214859,0.0009054223837594577
2,1.9760842162239207,0.0012231556788897535,0.001756056152256491
3,3.4846733256254367,0.0005781427445938903,0.00046983612256212837
4,3.1724312296418553,0.00041495554829751313,0.0006266757126809352
5,4.164098131057013,0.00031130353950459266,0.0007756979611386328
6,2.77678476711343,0.0010579194329984887,0.0007693421538412792
7,2.619036889165592,0.000783920502790636,0.0007098498166477896
8,3.3416387296080536,0.00026642020715428316,0.0005831427672866596
9,3.169051165481317,0.0008381834176880432,0.00023764885167665284
10,2.501983119342924,0.0011774669612094613,0.000937784617260462
11,3.0932554079682504,0.0010261944459806216,0.0005007735547302161
12,2.608666895458601,0.000774957499729112,0.0005494677656017188
13,1.6586816663019839,0.00018900145878575358,0.0004920373414769585
14,0.9096613423421545,0.0009557451481896351,0.0005249956463408978
15,0.8254528152652583,0.0011078665281658573,0.0006368034423012148
16,2.611170393473003,0.0013136514037022096,0.00023643280217555684
17,1.9234489896099838,0.00035068674447558124,0.00015493203835603708
18,1.7769617040924963,0.0005843262039810782,0.00037841481645628505
19,1.8623721309619548,0.0005636581389332207,0.0013163886329792263
